Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Appendicitis,2,1.72,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other STDs,0,0.16,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other circulatory diseases,36,35.94,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Rheumatic heart disease,3,2.58,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other chromosomal anomalies,1,0.81,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Diabetes mellitus,99,99.05,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Breast cancer,16,15.66,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,STDs excluding HIV,1,0.79,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other circulatory diseases,1,0.92,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,"Trachea, bronchus, lung cancers",1,0.62,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Congenital anomalies,1,1.14,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Genitourinary diseases,14,14.40,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Collective violence and legal intervention,3,2.80,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Neural tube defects,0,0.04,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Gynecological diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Falls,4,4.33,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Interpersonal violence,21,21.28,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Mental and behavioral disorders,6,5.83,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Peptic ulcer disease,4,4.20,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Trypanosomiasis,1,1.19,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Drug use disorders,1,0.87,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other unintentional injuries,12,11.79,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,All Causes,362,362.06,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Exposure to forces of nature,0,0.02,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Parkinson's disease,0,0.30,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Malaria,113,113.19,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Injuries,47,46.72,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Bladder cancer,1,1.46,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Gonorrhoea,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Eating disorders,0,0.06,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Ovary cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Respiratory diseases,84,83.79,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Chlamydia,0,0.15,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Corpus uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other circulatory diseases,34,34.34,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Measles,0,0.09,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Measles,0,0.46,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other genitourinary diseases,4,3.76,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Iron-deficiency anaemia,6,5.54,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Rabies,3,3.28,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Alcohol use disorders,0,0.29,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Iodine deficiency,0,0.03,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Tetanus,0,0.07,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Road injury,12,12.02,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Protein-energy malnutrition,19,18.76,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Eating disorders,0,0.16,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other malignant neoplasms,15,15.15,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Genitourinary diseases,5,4.83,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Gonorrhoea,0,0.04,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Colon and rectum cancers,17,17.45,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other neoplasms,2,1.79,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Self-harm,4,4.20,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Diphtheria,0,0.02,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Pervasive developmental disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other congenital anomalies,11,10.74,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Interpersonal violence,38,38.46,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Encephalitis,2,2.33,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other digestive diseases,4,4.23,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Corpus uteri cancer,0,0.25,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,"Endocrine, blood, immune disorders",29,28.52,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Rabies,4,3.62,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Drug use disorders,2,1.51,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Neonatal sepsis and infections,17,16.88,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Unintentional injuries,82,81.91,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other chromosomal anomalies,0,0.02,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other congenital anomalies,4,3.71,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other malignant neoplasms,42,41.88,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Unintentional injuries,79,78.98,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Upper respiratory infections,0,0.07,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Prostate cancer,1,0.91,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",6,6.11,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Cervix uteri cancer,14,13.85,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,HIV/AIDS,127,126.53,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Birth asphyxia and birth trauma,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Appendicitis,3,2.85,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Iron-deficiency anaemia,6,5.51,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other neoplasms,2,1.90,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Noncommunicable diseases,63,63.45,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Melanoma and other skin cancers,4,3.91,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Diabetes mellitus,17,16.85,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Urolithiasis,0,0.09,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Exposure to forces of nature,0,0.11,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other nutritional deficiencies,0,0.03,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Leishmaniasis,1,1.12,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Multiple sclerosis,1,0.66,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Melanoma and other skin cancers,1,0.64,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Breast cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Gynecological diseases,0,0.22,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Digestive diseases,9,9.44,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other circulatory diseases,8,8.25,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Malignant neoplasms,292,292.20,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Falls,9,9.27,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Bladder cancer,1,0.92,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Drowning,9,8.90,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Road injury,48,47.68,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Parkinson's disease,1,1.13,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other respiratory diseases,1,1.48,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Alcohol use disorders,1,0.86,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other infectious diseases,11,11.49,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Mental and behavioral disorders,8,8.31,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Chronic obstructive pulmonary disease,8,8.23,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Oesophagus cancer,4,4.24,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Congenital anomalies,1,0.87,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Neonatal conditions,93,93.03,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Cleft lip and cleft palate,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Breast cancer,16,15.54,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Neural tube defects,0,0.08,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Trichuriasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Respiratory diseases,3,3.40,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Musculoskeletal diseases,1,1.38,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Self-harm,9,8.72,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Mouth and oropharynx cancers,2,2.17,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Collective violence and legal intervention,17,16.87,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Down's syndrome,0,0.31,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Poisonings,4,3.94,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Acute hepatitis B,0,0.27,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Musculoskeletal diseases,9,8.56,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Upper respiratory infections,0,0.23,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Encephalitis,2,1.70,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Stomach cancer,11,11.12,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Peptic ulcer disease,3,2.53,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,"Endocrine, blood, immune disorders",19,18.89,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Acute hepatitis C,0,0.06,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Cirrhosis of the liver,37,36.83,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Alzheimer's disease and other dementias,1,0.65,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Drowning,6,5.61,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Meningitis,21,20.74,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Congenital anomalies,20,20.45,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Chronic obstructive pulmonary disease,42,41.94,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Urolithiasis,0,0.26,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Multiple sclerosis,0,0.17,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Dengue,0,0.37,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Ascariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Measles,64,63.97,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Injuries,181,181.34,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Trichuriasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Digestive diseases,45,44.63,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other respiratory diseases,7,6.97,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Chlamydia,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Communicable & other Group I,684,684.15,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Otitis media,0,0.11,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Iodine deficiency,0,0.10,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,"Fire, heat and hot substances",13,12.83,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Asthma,4,4.07,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Childhood behavioural disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Trypanosomiasis,11,10.99,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Ovary cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Hypertensive heart disease,5,5.48,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Congenital heart anomalies,0,0.41,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Diphtheria,0,0.32,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Rheumatoid arthritis,7,7.31,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other musculoskeletal disorders,3,2.69,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Kidney diseases,11,10.80,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Whooping cough,0,0.08,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other unintentional injuries,25,24.93,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other neurological conditions,2,2.45,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Measles,6,5.91,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Rabies,4,3.54,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Pervasive developmental disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Malaria,6,5.65,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Stroke,236,235.92,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Schistosomiasis,9,8.51,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Colon and rectum cancers,3,2.76,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Rheumatic heart disease,7,6.88,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other STDs,0,0.25,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Nutritional deficiencies,60,59.78,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Sense organ diseases,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Respiratory infections,50,49.76,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Hypertensive heart disease,0,0.22,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Neonatal sepsis and infections,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Dengue,0,0.17,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Prostate cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Lower respiratory infections,80,79.99,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Trypanosomiasis,9,8.93,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Infectious and parasitic diseases,265,264.82,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,"Fire, heat and hot substances",14,14.24,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Diarrhoeal diseases,60,59.76,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Respiratory infections,162,162.07,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Malignant neoplasms,77,76.53,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Alcohol use disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Tuberculosis,1,0.79,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Mental and behavioral disorders,2,2.10,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Protein-energy malnutrition,53,52.80,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Ovary cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other musculoskeletal disorders,2,2.09,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other genitourinary diseases,9,8.86,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Drug use disorders,0,0.42,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Congenital anomalies,4,4.49,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Breast cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other musculoskeletal disorders,1,0.60,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other digestive diseases,20,19.60,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",7,7.23,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other musculoskeletal disorders,2,1.58,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Intestinal nematode infections,0,0.07,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Meningitis,26,25.55,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Hypertensive heart disease,0,0.19,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Melanoma and other skin cancers,4,4.05,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Mental and behavioral disorders,1,1.49,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Intentional injuries,20,20.20,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Neonatal sepsis and infections,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Mouth and oropharynx cancers,1,1.09,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Cervix uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Eating disorders,0,0.26,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Interpersonal violence,7,6.66,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Preterm birth complications,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other respiratory diseases,1,1.48,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Noncommunicable diseases,1230,1230.16,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other musculoskeletal disorders,5,5.01,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Respiratory infections,38,38.30,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Oesophagus cancer,3,3.37,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Acute hepatitis B,0,0.24,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Acute hepatitis C,0,0.27,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Genitourinary diseases,15,15.50,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Rheumatic heart disease,2,1.76,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,"Fire, heat and hot substances",10,9.82,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Melanoma and other skin cancers,1,0.77,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Nutritional deficiencies,59,59.09,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Diarrhoeal diseases,73,72.76,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Pervasive developmental disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Lymphatic filariasis,0,0.00,,,
